index,sign,astrology_sign,importance
13345,sagittarius and it's fun to think about,sagittarius,fun
13346,virgo and it's fun to think about,virgo,fun
13347,virgo and it's fun to think about,virgo,fun
13348,capricorn and it's fun to think about,capricorn,fun
13349,pisces but it doesn't matter,pisces,no importance
13350,pisces and it's fun to think about,pisces,fun
13351,libra and it's fun to think about,libra,fun
13352,sagittarius but it doesn't matter,sagittarius,no importance
13353,leo but it doesn't matter,leo,no importance
13354,leo but it doesn't matter,leo,no importance
13355,virgo but it doesn't matter,virgo,no importance
13356,aquarius and it's fun to think about,aquarius,fun
13357,cancer but it doesn't matter,cancer,no importance
13358,pisces but it doesn't matter,pisces,no importance
13359,pisces,pisces,no importance
13360,gemini and it's fun to think about,gemini,fun
13361,leo and it's fun to think about,leo,fun
13362,aries,aries,no importance
13363,pisces but it doesn't matter,pisces,no importance
13364,gemini and it's fun to think about,gemini,fun
13365,taurus but it doesn't matter,taurus,no importance
13366,leo and it's fun to think about,leo,fun
13367,capricorn,capricorn,no importance
13368,scorpio,scorpio,no importance
13369,gemini,gemini,no importance
13370,virgo and it's fun to think about,virgo,fun
13371,virgo and it's fun to think about,virgo,fun
13372,libra and it matters a lot,libra,importance
13373,cancer and it's fun to think about,cancer,fun
13374,leo and it's fun to think about,leo,fun
13375,Unknown,Unknown,Unknown
13376,libra and it's fun to think about,libra,fun
13377,cancer,cancer,no importance
13378,libra but it doesn't matter,libra,no importance
13379,libra but it doesn't matter,libra,no importance
13380,taurus but it doesn't matter,taurus,no importance
13381,gemini and it's fun to think about,gemini,fun
13382,leo but it doesn't matter,leo,no importance
13383,aries and it's fun to think about,aries,fun
13384,scorpio and it's fun to think about,scorpio,fun
13385,virgo but it doesn't matter,virgo,no importance
13386,cancer but it doesn't matter,cancer,no importance
13387,leo but it doesn't matter,leo,no importance
13388,virgo and it's fun to think about,virgo,fun
13389,scorpio and it's fun to think about,scorpio,fun
13390,aries but it doesn't matter,aries,no importance
13391,taurus but it doesn't matter,taurus,no importance
13392,leo,leo,no importance
13393,gemini and it's fun to think about,gemini,fun
13394,cancer and it's fun to think about,cancer,fun
13395,Unknown,Unknown,Unknown
13396,cancer and it's fun to think about,cancer,fun
13397,virgo,virgo,no importance
13398,scorpio and it's fun to think about,scorpio,fun
13399,aquarius,aquarius,no importance
13400,pisces and it's fun to think about,pisces,fun
13401,leo and it's fun to think about,leo,fun
13402,aries and it's fun to think about,aries,fun
13403,taurus but it doesn't matter,taurus,no importance
13404,aquarius,aquarius,no importance
13405,sagittarius but it doesn't matter,sagittarius,no importance
13406,Unknown,Unknown,Unknown
13407,pisces but it doesn't matter,pisces,no importance
13408,virgo but it doesn't matter,virgo,no importance
13409,pisces but it doesn't matter,pisces,no importance
13410,Unknown,Unknown,Unknown
13411,cancer,cancer,no importance
13412,Unknown,Unknown,Unknown
13413,Unknown,Unknown,Unknown
13414,libra and it's fun to think about,libra,fun
13415,cancer and it's fun to think about,cancer,fun
13416,Unknown,Unknown,Unknown
13417,Unknown,Unknown,Unknown
13418,Unknown,Unknown,Unknown
13419,aquarius but it doesn't matter,aquarius,no importance
13420,sagittarius and it's fun to think about,sagittarius,fun
13421,virgo and it's fun to think about,virgo,fun
13422,leo,leo,no importance
13423,taurus and it's fun to think about,taurus,fun
13424,leo but it doesn't matter,leo,no importance
13425,taurus and it's fun to think about,taurus,fun
13426,Unknown,Unknown,Unknown
13427,libra but it doesn't matter,libra,no importance
13428,taurus and it's fun to think about,taurus,fun
13429,sagittarius,sagittarius,no importance
13430,Unknown,Unknown,Unknown
13431,scorpio and it's fun to think about,scorpio,fun
13432,aquarius but it doesn't matter,aquarius,no importance
13433,libra and it's fun to think about,libra,fun
13434,scorpio and it's fun to think about,scorpio,fun
13435,cancer but it doesn't matter,cancer,no importance
13436,Unknown,Unknown,Unknown
13437,Unknown,Unknown,Unknown
13438,aquarius and it's fun to think about,aquarius,fun
13439,libra and it's fun to think about,libra,fun
13440,capricorn but it doesn't matter,capricorn,no importance
13441,virgo,virgo,no importance
13442,Unknown,Unknown,Unknown
13443,capricorn and it's fun to think about,capricorn,fun
13444,scorpio and it's fun to think about,scorpio,fun
13445,aries and it's fun to think about,aries,fun
13446,Unknown,Unknown,Unknown
13447,capricorn,capricorn,no importance
13448,taurus but it doesn't matter,taurus,no importance
13449,capricorn,capricorn,no importance
13450,cancer but it doesn't matter,cancer,no importance
13451,virgo,virgo,no importance
13452,sagittarius and it's fun to think about,sagittarius,fun
13453,virgo and it's fun to think about,virgo,fun
13454,pisces and it's fun to think about,pisces,fun
13455,aquarius and it's fun to think about,aquarius,fun
13456,virgo but it doesn't matter,virgo,no importance
13457,gemini and it's fun to think about,gemini,fun
13458,leo and it's fun to think about,leo,fun
13459,cancer,cancer,no importance
13460,cancer but it doesn't matter,cancer,no importance
13461,virgo but it doesn't matter,virgo,no importance
13462,taurus and it's fun to think about,taurus,fun
13463,aquarius but it doesn't matter,aquarius,no importance
13464,taurus and it's fun to think about,taurus,fun
13465,aries and it's fun to think about,aries,fun
13466,aquarius,aquarius,no importance
13467,cancer but it doesn't matter,cancer,no importance
13468,gemini but it doesn't matter,gemini,no importance
13469,cancer but it doesn't matter,cancer,no importance
13470,Unknown,Unknown,Unknown
13471,leo,leo,no importance
13472,leo,leo,no importance
13473,capricorn and it's fun to think about,capricorn,fun
13474,virgo but it doesn't matter,virgo,no importance
13475,taurus but it doesn't matter,taurus,no importance
13476,Unknown,Unknown,Unknown
13477,taurus but it doesn't matter,taurus,no importance
13478,libra and it's fun to think about,libra,fun
13479,leo but it doesn't matter,leo,no importance
13480,scorpio but it doesn't matter,scorpio,no importance
13481,capricorn and it's fun to think about,capricorn,fun
13482,gemini and it's fun to think about,gemini,fun
13483,sagittarius and it's fun to think about,sagittarius,fun
13484,sagittarius but it doesn't matter,sagittarius,no importance
13485,Unknown,Unknown,Unknown
13486,Unknown,Unknown,Unknown
13487,Unknown,Unknown,Unknown
13488,gemini but it doesn't matter,gemini,no importance
13489,sagittarius and it matters a lot,sagittarius,importance
13490,cancer and it's fun to think about,cancer,fun
13491,capricorn and it's fun to think about,capricorn,fun
13492,gemini and it's fun to think about,gemini,fun
13493,libra,libra,no importance
13494,scorpio and it's fun to think about,scorpio,fun
13495,cancer but it doesn't matter,cancer,no importance
13496,gemini but it doesn't matter,gemini,no importance
13497,libra and it's fun to think about,libra,fun
13498,Unknown,Unknown,Unknown
13499,aquarius,aquarius,no importance
13500,cancer,cancer,no importance
13501,taurus and it's fun to think about,taurus,fun
13502,pisces but it doesn't matter,pisces,no importance
13503,aries and it's fun to think about,aries,fun
13504,taurus and it's fun to think about,taurus,fun
13505,scorpio,scorpio,no importance
13506,gemini,gemini,no importance
13507,Unknown,Unknown,Unknown
13508,scorpio but it doesn't matter,scorpio,no importance
13509,Unknown,Unknown,Unknown
13510,cancer but it doesn't matter,cancer,no importance
13511,taurus but it doesn't matter,taurus,no importance
13512,taurus and it's fun to think about,taurus,fun
13513,pisces but it doesn't matter,pisces,no importance
13514,Unknown,Unknown,Unknown
13515,scorpio but it doesn't matter,scorpio,no importance
13516,sagittarius but it doesn't matter,sagittarius,no importance
13517,Unknown,Unknown,Unknown
13518,leo,leo,no importance
13519,cancer,cancer,no importance
13520,taurus but it doesn't matter,taurus,no importance
13521,scorpio but it doesn't matter,scorpio,no importance
13522,scorpio and it's fun to think about,scorpio,fun
13523,pisces but it doesn't matter,pisces,no importance
13524,taurus and it's fun to think about,taurus,fun
13525,Unknown,Unknown,Unknown
13526,gemini and it's fun to think about,gemini,fun
13527,Unknown,Unknown,Unknown
13528,Unknown,Unknown,Unknown
13529,Unknown,Unknown,Unknown
13530,sagittarius and it's fun to think about,sagittarius,fun
13531,scorpio and it's fun to think about,scorpio,fun
13532,gemini but it doesn't matter,gemini,no importance
13533,Unknown,Unknown,Unknown
13534,virgo but it doesn't matter,virgo,no importance
13535,Unknown,Unknown,Unknown
13536,libra but it doesn't matter,libra,no importance
13537,taurus and it's fun to think about,taurus,fun
13538,aquarius and it's fun to think about,aquarius,fun
13539,sagittarius and it's fun to think about,sagittarius,fun
13540,virgo,virgo,no importance
13541,gemini,gemini,no importance
13542,sagittarius and it's fun to think about,sagittarius,fun
13543,cancer but it doesn't matter,cancer,no importance
13544,cancer but it doesn't matter,cancer,no importance
13545,scorpio,scorpio,no importance
13546,libra,libra,no importance
13547,sagittarius and it's fun to think about,sagittarius,fun
13548,scorpio and it's fun to think about,scorpio,fun
13549,aquarius but it doesn't matter,aquarius,no importance
13550,aquarius and it's fun to think about,aquarius,fun
13551,capricorn and it's fun to think about,capricorn,fun
13552,leo and it's fun to think about,leo,fun
13553,leo but it doesn't matter,leo,no importance
13554,Unknown,Unknown,Unknown
13555,leo and it matters a lot,leo,importance
13556,sagittarius and it's fun to think about,sagittarius,fun
13557,scorpio and it's fun to think about,scorpio,fun
13558,Unknown,Unknown,Unknown
13559,gemini,gemini,no importance
13560,libra but it doesn't matter,libra,no importance
13561,sagittarius and it's fun to think about,sagittarius,fun
13562,sagittarius but it doesn't matter,sagittarius,no importance
13563,cancer and it's fun to think about,cancer,fun
13564,gemini,gemini,no importance
13565,aries but it doesn't matter,aries,no importance
13566,taurus and it's fun to think about,taurus,fun
13567,cancer and it's fun to think about,cancer,fun
13568,gemini,gemini,no importance
13569,aquarius but it doesn't matter,aquarius,no importance
13570,leo and it's fun to think about,leo,fun
13571,Unknown,Unknown,Unknown
13572,aries,aries,no importance
13573,libra and it's fun to think about,libra,fun
13574,gemini and it's fun to think about,gemini,fun
13575,cancer and it's fun to think about,cancer,fun
13576,sagittarius,sagittarius,no importance
13577,gemini,gemini,no importance
13578,pisces,pisces,no importance
13579,Unknown,Unknown,Unknown
13580,gemini and it's fun to think about,gemini,fun
13581,scorpio and it's fun to think about,scorpio,fun
13582,scorpio,scorpio,no importance
13583,pisces and it's fun to think about,pisces,fun
13584,aries and it's fun to think about,aries,fun
13585,libra but it doesn't matter,libra,no importance
13586,aquarius and it's fun to think about,aquarius,fun
13587,libra but it doesn't matter,libra,no importance
13588,cancer but it doesn't matter,cancer,no importance
13589,cancer but it doesn't matter,cancer,no importance
13590,taurus but it doesn't matter,taurus,no importance
13591,taurus and it's fun to think about,taurus,fun
13592,cancer and it's fun to think about,cancer,fun
13593,taurus,taurus,no importance
13594,scorpio but it doesn't matter,scorpio,no importance
13595,aquarius and it's fun to think about,aquarius,fun
13596,virgo but it doesn't matter,virgo,no importance
13597,aquarius,aquarius,no importance
13598,cancer,cancer,no importance
13599,Unknown,Unknown,Unknown
13600,aries but it doesn't matter,aries,no importance
13601,sagittarius and it's fun to think about,sagittarius,fun
13602,virgo and it's fun to think about,virgo,fun
13603,pisces but it doesn't matter,pisces,no importance
13604,scorpio and it's fun to think about,scorpio,fun
13605,aries but it doesn't matter,aries,no importance
13606,capricorn but it doesn't matter,capricorn,no importance
13607,sagittarius but it doesn't matter,sagittarius,no importance
13608,Unknown,Unknown,Unknown
13609,capricorn and it's fun to think about,capricorn,fun
13610,leo,leo,no importance
13611,cancer but it doesn't matter,cancer,no importance
13612,capricorn,capricorn,no importance
13613,aquarius and it's fun to think about,aquarius,fun
13614,scorpio and it's fun to think about,scorpio,fun
13615,cancer,cancer,no importance
13616,pisces and it's fun to think about,pisces,fun
13617,libra and it's fun to think about,libra,fun
13618,gemini,gemini,no importance
13619,virgo and it's fun to think about,virgo,fun
13620,Unknown,Unknown,Unknown
13621,sagittarius and it's fun to think about,sagittarius,fun
13622,capricorn and it's fun to think about,capricorn,fun
13623,Unknown,Unknown,Unknown
13624,scorpio and it's fun to think about,scorpio,fun
13625,scorpio,scorpio,no importance
