index,pets,dogs,cats
10431,likes dogs and likes cats,like,like
10432,likes dogs,like,no importance
10433,has dogs,own,no importance
10434,no importance,no importance,no importance
10435,likes dogs and likes cats,like,like
10436,no importance,no importance,no importance
10437,no importance,no importance,no importance
10438,likes dogs and dislikes cats,like,like
10439,likes dogs and has cats,like,own
10440,likes dogs and likes cats,like,like
10441,likes dogs and likes cats,like,like
10442,likes dogs,like,no importance
10443,likes dogs and has cats,like,own
10444,likes dogs,like,no importance
10445,likes dogs,like,no importance
10446,no importance,no importance,no importance
10447,no importance,no importance,no importance
10448,no importance,no importance,no importance
10449,likes dogs and likes cats,like,like
10450,likes dogs and likes cats,like,like
10451,no importance,no importance,no importance
10452,has dogs,own,no importance
10453,has dogs,own,no importance
10454,has dogs and likes cats,own,like
10455,likes dogs and likes cats,like,like
10456,no importance,no importance,no importance
10457,has dogs and likes cats,own,like
10458,has dogs,own,no importance
10459,has dogs,own,no importance
10460,likes dogs and likes cats,like,like
10461,likes dogs,like,no importance
10462,has dogs,own,no importance
10463,no importance,no importance,no importance
10464,no importance,no importance,no importance
10465,likes dogs and has cats,like,own
10466,no importance,no importance,no importance
10467,has dogs and likes cats,own,like
10468,no importance,no importance,no importance
10469,no importance,no importance,no importance
10470,no importance,no importance,no importance
10471,no importance,no importance,no importance
10472,no importance,no importance,no importance
10473,likes dogs and likes cats,like,like
10474,likes dogs and dislikes cats,like,like
10475,likes dogs and likes cats,like,like
10476,has dogs and likes cats,own,like
10477,likes dogs and likes cats,like,like
10478,no importance,no importance,no importance
10479,likes dogs and likes cats,like,like
10480,has cats,no importance,own
10481,likes dogs,like,no importance
10482,no importance,no importance,no importance
10483,no importance,no importance,no importance
10484,likes dogs,like,no importance
10485,no importance,no importance,no importance
10486,likes dogs and has cats,like,own
10487,likes dogs,like,no importance
10488,likes dogs,like,no importance
10489,likes dogs and likes cats,like,like
10490,likes dogs and has cats,like,own
10491,no importance,no importance,no importance
10492,no importance,no importance,no importance
10493,likes dogs and likes cats,like,like
10494,no importance,no importance,no importance
10495,no importance,no importance,no importance
10496,has dogs,own,no importance
10497,no importance,no importance,no importance
10498,likes dogs and likes cats,like,like
10499,no importance,no importance,no importance
10500,no importance,no importance,no importance
10501,has dogs,own,no importance
10502,no importance,no importance,no importance
10503,likes dogs and likes cats,like,like
10504,has dogs and likes cats,own,like
10505,has dogs and dislikes cats,own,like
10506,has dogs and dislikes cats,own,like
10507,no importance,no importance,no importance
10508,no importance,no importance,no importance
10509,likes dogs,like,no importance
10510,no importance,no importance,no importance
10511,likes dogs,like,no importance
10512,has dogs and has cats,own,own
10513,likes dogs,like,no importance
10514,dislikes dogs and likes cats,like,like
10515,has dogs and has cats,own,own
10516,dislikes dogs and dislikes cats,like,like
10517,likes dogs and likes cats,like,like
10518,no importance,no importance,no importance
10519,likes dogs and likes cats,like,like
10520,has dogs,own,no importance
10521,no importance,no importance,no importance
10522,likes dogs,like,no importance
10523,likes dogs,like,no importance
10524,likes dogs and likes cats,like,like
10525,likes dogs,like,no importance
10526,no importance,no importance,no importance
10527,no importance,no importance,no importance
10528,has dogs and has cats,own,own
10529,has dogs and likes cats,own,like
10530,likes dogs,like,no importance
10531,no importance,no importance,no importance
10532,no importance,no importance,no importance
10533,likes dogs and likes cats,like,like
10534,no importance,no importance,no importance
10535,no importance,no importance,no importance
10536,no importance,no importance,no importance
10537,likes cats,no importance,like
10538,has cats,no importance,own
10539,has cats,no importance,own
10540,no importance,no importance,no importance
10541,no importance,no importance,no importance
10542,likes dogs and likes cats,like,like
10543,likes dogs and likes cats,like,like
10544,likes dogs and likes cats,like,like
10545,has dogs and likes cats,own,like
10546,no importance,no importance,no importance
10547,has dogs,own,no importance
10548,likes dogs,like,no importance
10549,likes dogs and dislikes cats,like,like
10550,no importance,no importance,no importance
10551,has dogs and has cats,own,own
10552,no importance,no importance,no importance
10553,likes dogs and likes cats,like,like
10554,no importance,no importance,no importance
10555,no importance,no importance,no importance
10556,likes dogs and likes cats,like,like
10557,likes dogs,like,no importance
10558,likes dogs and likes cats,like,like
10559,no importance,no importance,no importance
10560,likes dogs and likes cats,like,like
10561,has dogs and likes cats,own,like
10562,likes dogs,like,no importance
10563,likes dogs and has cats,like,own
10564,dislikes dogs and likes cats,like,like
10565,no importance,no importance,no importance
10566,no importance,no importance,no importance
10567,likes dogs and likes cats,like,like
10568,likes dogs and likes cats,like,like
10569,no importance,no importance,no importance
10570,no importance,no importance,no importance
10571,likes dogs and dislikes cats,like,like
10572,no importance,no importance,no importance
10573,likes dogs and likes cats,like,like
10574,likes dogs and likes cats,like,like
10575,has dogs and has cats,own,own
10576,no importance,no importance,no importance
10577,no importance,no importance,no importance
10578,likes dogs and likes cats,like,like
10579,likes dogs,like,no importance
10580,no importance,no importance,no importance
10581,no importance,no importance,no importance
10582,no importance,no importance,no importance
10583,likes dogs and likes cats,like,like
10584,has dogs,own,no importance
10585,no importance,no importance,no importance
10586,has cats,no importance,own
10587,likes dogs and has cats,like,own
10588,no importance,no importance,no importance
10589,no importance,no importance,no importance
10590,likes dogs and has cats,like,own
10591,no importance,no importance,no importance
10592,no importance,no importance,no importance
10593,likes dogs and likes cats,like,like
10594,no importance,no importance,no importance
10595,likes dogs and has cats,like,own
10596,no importance,no importance,no importance
10597,no importance,no importance,no importance
10598,likes dogs and likes cats,like,like
10599,has dogs and dislikes cats,own,like
10600,likes dogs,like,no importance
10601,likes dogs and has cats,like,own
10602,likes dogs,like,no importance
10603,no importance,no importance,no importance
10604,no importance,no importance,no importance
10605,likes dogs and likes cats,like,like
10606,likes cats,no importance,like
10607,no importance,no importance,no importance
10608,no importance,no importance,no importance
10609,no importance,no importance,no importance
10610,likes dogs,like,no importance
10611,no importance,no importance,no importance
10612,likes dogs and likes cats,like,like
10613,has dogs,own,no importance
10614,no importance,no importance,no importance
10615,likes dogs and likes cats,like,like
10616,no importance,no importance,no importance
10617,has dogs,own,no importance
10618,no importance,no importance,no importance
10619,no importance,no importance,no importance
10620,likes dogs and likes cats,like,like
10621,likes dogs and likes cats,like,like
10622,has cats,no importance,own
10623,has dogs and likes cats,own,like
10624,likes dogs and dislikes cats,like,like
10625,has dogs and likes cats,own,like
10626,likes dogs and likes cats,like,like
10627,likes dogs and likes cats,like,like
10628,likes dogs and likes cats,like,like
10629,has cats,no importance,own
10630,likes dogs and has cats,like,own
10631,likes dogs and likes cats,like,like
10632,likes cats,no importance,like
10633,likes dogs and likes cats,like,like
10634,has dogs and likes cats,own,like
10635,no importance,no importance,no importance
10636,likes dogs,like,no importance
10637,likes dogs and likes cats,like,like
10638,likes dogs and likes cats,like,like
10639,likes dogs and has cats,like,own
10640,likes dogs and likes cats,like,like
10641,likes dogs and likes cats,like,like
10642,likes dogs and likes cats,like,like
10643,no importance,no importance,no importance
10644,likes dogs,like,no importance
10645,has cats,no importance,own
10646,likes dogs and likes cats,like,like
10647,likes dogs and has cats,like,own
10648,no importance,no importance,no importance
