index,speaks,fluent,good
3308,"english (fluently), spanish (okay), korean (okay)",english,"spanish, korean"
3309,"english (fluently), spanish (okay)",english,spanish
3310,"english (fluently), chinese (okay), spanish (okay)",english,"chinese, spanish"
3311,"english (fluently), spanish (fluently)","english, spanish",
3312,"english (okay), spanish (fluently)",spanish,english
3313,english (fluently),english,
3314,english (fluently),english,
3315,english (fluently),english,
3316,english (fluently),english,
3317,english (fluently),english,
3318,english (fluently),english,
3319,english (fluently),english,
3320,"english (fluently), maori, bengali, danish",english,"maori, bengali, danish"
3321,english (fluently),english,
3322,english (fluently),english,
3323,english (fluently),english,
3324,english (fluently),english,
3325,english (fluently),english,
3326,english (fluently),english,
3327,english (fluently),english,
3328,english (fluently),english,
3329,english (fluently),english,
3330,english (fluently),english,
3331,english (fluently),english,
3332,"english (fluently), japanese (okay)",english,japanese
3333,english (fluently),english,
3334,english (fluently),english,
3335,english (fluently),english,
3336,"english (fluently), spanish (fluently)","english, spanish",
3337,english (fluently),english,
3338,"english (fluently), japanese (fluently), c++ (fluently)","english, japanese, c++",
3339,english (fluently),english,
3340,english (fluently),english,
3341,english (fluently),english,
3342,english (fluently),english,
3343,english (fluently),english,
3344,"english (fluently), french (fluently), spanish (okay)","english, french",spanish
3345,"english (fluently), chinese (okay)",english,chinese
3346,english (fluently),english,
3347,english (fluently),english,
3348,english (fluently),english,
3349,"english (fluently), spanish (fluently)","english, spanish",
3350,"english (fluently), japanese (okay), spanish (okay)",english,"japanese, spanish"
3351,english (fluently),english,
3352,english (fluently),english,
3353,"english (fluently), spanish",english,spanish
3354,english (fluently),english,
3355,english (fluently),english,
3356,english (fluently),english,
3357,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
3358,"english (fluently), spanish (okay)",english,spanish
3359,english (fluently),english,
3360,english (fluently),english,
3361,"english (fluently), tagalog (fluently), spanish (fluently), japanese (okay)","english, tagalog, spanish",japanese
3362,english (fluently),english,
3363,"english (fluently), spanish (okay)",english,spanish
3364,english (fluently),english,
3365,"english (fluently), spanish (okay)",english,spanish
3366,english (fluently),english,
3367,english (fluently),english,
3368,english (fluently),english,
3369,english (fluently),english,
3370,"english (fluently), romanian (fluently), russian (fluently)","english, romanian, russian",
3371,english (fluently),english,
3372,"english (fluently), hindi (fluently)","english, hindi",
3373,"english (fluently), spanish (okay)",english,spanish
3374,english (fluently),english,
3375,english (fluently),english,
3376,"english (fluently), german (fluently), romanian (fluently)","english, german, romanian",
3377,english (fluently),english,
3378,english (fluently),english,
3379,"english (fluently), japanese (okay), german (okay)",english,"japanese, german"
3380,"english (okay), indonesian (fluently)",indonesian,english
3381,english (fluently),english,
3382,"english (fluently), english (okay)",english,english
3383,"english (fluently), french (okay), esperanto (fluently)","english, esperanto",french
3384,"english (fluently), german (fluently), latin (fluently), french (okay)","english, german, latin",french
3385,english (fluently),english,
3386,english (fluently),english,
3387,"english (fluently), arabic (fluently), other (fluently)","english, arabic",
3388,english (fluently),english,
3389,"english (fluently), german (okay)",english,german
3390,"english (fluently), french (okay)",english,french
3391,"english (fluently), spanish (okay)",english,spanish
3392,english (fluently),english,
3393,english (fluently),english,
3394,english (fluently),english,
3395,"english (fluently), c++ (fluently)","english, c++",
3396,"english (fluently), c++ (fluently)","english, c++",
3397,english (fluently),english,
3398,english (fluently),english,
3399,english (fluently),english,
3400,"english (fluently), spanish (okay)",english,spanish
3401,english (fluently),english,
3402,english (fluently),english,
3403,english (fluently),english,
3404,"english (fluently), french (okay)",english,french
3405,english (fluently),english,
3406,english (fluently),english,
3407,english (fluently),english,
3408,english (fluently),english,
3409,"english (fluently), spanish (okay)",english,spanish
3410,english (fluently),english,
3411,english (fluently),english,
3412,english (fluently),english,
3413,"english (fluently), french (okay)",english,french
3414,english (fluently),english,
3415,"english (fluently), chinese (fluently)","english, chinese",
3416,english (fluently),english,
3417,english (fluently),english,
3418,english (fluently),english,
3419,english (fluently),english,
3420,english (fluently),english,
3421,english (fluently),english,
3422,"english (fluently), spanish (okay), urdu (fluently)","english, urdu",spanish
3423,"english (fluently), chinese (okay)",english,chinese
3424,"english (fluently), spanish",english,spanish
3425,"english (fluently), spanish (okay)",english,spanish
3426,"english (fluently), french (fluently)","english, french",
3427,english (fluently),english,
3428,"english (fluently), chinese (okay)",english,chinese
3429,english (fluently),english,
3430,english (fluently),english,
3431,english (fluently),english,
3432,english (fluently),english,
3433,"english (fluently), urdu (okay), hindi (okay)",english,"urdu, hindi"
3434,"english (fluently), arabic (fluently)","english, arabic",
3435,"english (okay), japanese (fluently)",japanese,english
3436,"english (fluently), c++",english,c++
3437,english (fluently),english,
3438,english (fluently),english,
3439,english (fluently),english,
3440,english (fluently),english,
3441,english (fluently),english,
3442,"english (fluently), japanese (okay)",english,japanese
3443,english (fluently),english,
3444,english (fluently),english,
3445,"english (fluently), chinese (fluently)","english, chinese",
3446,english (fluently),english,
3447,"english (fluently), spanish (fluently)","english, spanish",
3448,"english (fluently), french (fluently)","english, french",
3449,"english (fluently), japanese (okay)",english,japanese
3450,english (fluently),english,
3451,english (fluently),english,
3452,"english (fluently), chinese (fluently)","english, chinese",
3453,"english (fluently), french (okay)",english,french
3454,english (fluently),english,
3455,"english (fluently), spanish (fluently)","english, spanish",
3456,english (fluently),english,
3457,english (fluently),english,
3458,english (fluently),english,
3459,"english (fluently), spanish",english,spanish
3460,"english (fluently), tagalog (fluently)","english, tagalog",
3461,english (fluently),english,
3462,english (fluently),english,
3463,"english (fluently), portuguese (fluently)","english, portuguese",
3464,"english (fluently), spanish (okay)",english,spanish
3465,english (fluently),english,
3466,english (fluently),english,
3467,"english (fluently), tagalog",english,tagalog
3468,"english (fluently), chinese (fluently), french (okay), spanish (okay), portuguese (okay)","english, chinese","french, spanish, portuguese"
3469,english (fluently),english,
3470,"english (fluently), spanish (fluently), korean (okay)","english, spanish",korean
3471,english (fluently),english,
3472,"english (fluently), portuguese (okay)",english,portuguese
3473,english (fluently),english,
3474,english (fluently),english,
3475,"english (fluently), spanish (fluently)","english, spanish",
3476,english (fluently),english,
3477,english (fluently),english,
3478,english (fluently),english,
3479,english (fluently),english,
3480,english (fluently),english,
3481,"english (okay), tagalog (fluently)",tagalog,english
3482,english (fluently),english,
3483,english (fluently),english,
3484,"english (fluently), spanish (fluently)","english, spanish",
3485,"english (fluently), chinese, french, japanese",english,"chinese, french, japanese"
