index,religion,religion_name,seriousness
11070,catholicism but not too serious about it,catholicism,not too serious
11071,atheism,atheism,no importance
11072,rather not disclose,rather not disclose,no importance
11073,christianity,christianity,no importance
11074,rather not disclose,rather not disclose,no importance
11075,atheism and somewhat serious about it,atheism,somewhat serious
11076,other but not too serious about it,other,no importance
11077,rather not disclose,rather not disclose,no importance
11078,rather not disclose,rather not disclose,no importance
11079,catholicism but not too serious about it,catholicism,not too serious
11080,christianity and laughing about it,christianity,laughing
11081,catholicism and laughing about it,catholicism,laughing
11082,atheism and laughing about it,atheism,laughing
11083,rather not disclose,rather not disclose,no importance
11084,agnosticism,agnosticism,no importance
11085,agnosticism but not too serious about it,agnosticism,not too serious
11086,catholicism,catholicism,no importance
11087,rather not disclose,rather not disclose,no importance
11088,other and somewhat serious about it,other,no importance
11089,judaism but not too serious about it,judaism,not too serious
11090,atheism and laughing about it,atheism,laughing
11091,judaism and somewhat serious about it,judaism,somewhat serious
11092,rather not disclose,rather not disclose,no importance
11093,atheism,atheism,no importance
11094,catholicism but not too serious about it,catholicism,not too serious
11095,rather not disclose,rather not disclose,no importance
11096,agnosticism but not too serious about it,agnosticism,not too serious
11097,rather not disclose,rather not disclose,no importance
11098,agnosticism,agnosticism,no importance
11099,atheism and laughing about it,atheism,laughing
11100,rather not disclose,rather not disclose,no importance
11101,agnosticism,agnosticism,no importance
11102,agnosticism but not too serious about it,agnosticism,not too serious
11103,christianity but not too serious about it,christianity,not too serious
11104,agnosticism,agnosticism,no importance
11105,agnosticism and laughing about it,agnosticism,laughing
11106,other and laughing about it,other,no importance
11107,other,other,no importance
11108,atheism and laughing about it,atheism,laughing
11109,catholicism and laughing about it,catholicism,laughing
11110,catholicism but not too serious about it,catholicism,not too serious
11111,rather not disclose,rather not disclose,no importance
11112,other,other,no importance
11113,catholicism but not too serious about it,catholicism,not too serious
11114,christianity but not too serious about it,christianity,not too serious
11115,other,other,no importance
11116,christianity but not too serious about it,christianity,not too serious
11117,rather not disclose,rather not disclose,no importance
11118,agnosticism and laughing about it,agnosticism,laughing
11119,judaism but not too serious about it,judaism,not too serious
11120,atheism,atheism,no importance
11121,rather not disclose,rather not disclose,no importance
11122,rather not disclose,rather not disclose,no importance
11123,rather not disclose,rather not disclose,no importance
11124,rather not disclose,rather not disclose,no importance
11125,rather not disclose,rather not disclose,no importance
11126,rather not disclose,rather not disclose,no importance
11127,agnosticism and laughing about it,agnosticism,laughing
11128,rather not disclose,rather not disclose,no importance
11129,christianity,christianity,no importance
11130,other and laughing about it,other,no importance
11131,atheism and laughing about it,atheism,laughing
11132,rather not disclose,rather not disclose,no importance
11133,other but not too serious about it,other,no importance
11134,other and laughing about it,other,no importance
11135,catholicism,catholicism,no importance
11136,other,other,no importance
11137,rather not disclose,rather not disclose,no importance
11138,agnosticism but not too serious about it,agnosticism,not too serious
11139,christianity and somewhat serious about it,christianity,somewhat serious
11140,rather not disclose,rather not disclose,no importance
11141,rather not disclose,rather not disclose,no importance
11142,rather not disclose,rather not disclose,no importance
11143,catholicism and laughing about it,catholicism,laughing
11144,agnosticism but not too serious about it,agnosticism,not too serious
11145,rather not disclose,rather not disclose,no importance
11146,rather not disclose,rather not disclose,no importance
11147,rather not disclose,rather not disclose,no importance
11148,rather not disclose,rather not disclose,no importance
11149,christianity,christianity,no importance
11150,other,other,no importance
11151,christianity but not too serious about it,christianity,not too serious
11152,atheism,atheism,no importance
11153,rather not disclose,rather not disclose,no importance
11154,rather not disclose,rather not disclose,no importance
11155,atheism and laughing about it,atheism,laughing
11156,catholicism but not too serious about it,catholicism,not too serious
11157,agnosticism,agnosticism,no importance
11158,buddhism and laughing about it,buddhism,laughing
11159,rather not disclose,rather not disclose,no importance
11160,rather not disclose,rather not disclose,no importance
11161,rather not disclose,rather not disclose,no importance
11162,other and laughing about it,other,no importance
